DATE,mean_unemployment_weeks
1/1/1948,8.9
2/1/1948,8.4
3/1/1948,8.7
4/1/1948,8.5
5/1/1948,9.1
6/1/1948,8.8
7/1/1948,8.6
8/1/1948,8.8
9/1/1948,8.5
10/1/1948,9.5
11/1/1948,7.8
12/1/1948,8.1
1/1/1949,8.2
2/1/1949,8.3
3/1/1949,8.3
4/1/1949,8.8
5/1/1949,9.1
6/1/1949,10
7/1/1949,10.8
8/1/1949,11
9/1/1949,11.7
10/1/1949,10.9
11/1/1949,11.6
12/1/1949,11.8
1/1/1950,11.3
2/1/1950,11.8
3/1/1950,12.4
4/1/1950,12.6
5/1/1950,12.7
6/1/1950,13.1
7/1/1950,12.5
8/1/1950,12.2
9/1/1950,12.2
10/1/1950,12.3
11/1/1950,10.7
12/1/1950,10.7
1/1/1951,10.6
2/1/1951,10.8
3/1/1951,10.1
4/1/1951,10.6
5/1/1951,9.9
6/1/1951,8.7
7/1/1951,9.2
8/1/1951,9.1
9/1/1951,9.1
10/1/1951,8.9
11/1/1951,9.7
12/1/1951,9.3
1/1/1952,9.3
2/1/1952,8.8
3/1/1952,8.4
4/1/1952,9
5/1/1952,7.8
6/1/1952,7.3
7/1/1952,7.5
8/1/1952,7.6
9/1/1952,8.1
10/1/1952,9.1
11/1/1952,9.5
12/1/1952,8.8
1/1/1953,9.3
2/1/1953,8.4
3/1/1953,8.5
4/1/1953,7.8
5/1/1953,7.9
6/1/1953,8.2
7/1/1953,7.9
8/1/1953,8
9/1/1953,7.1
10/1/1953,7.2
11/1/1953,7.9
12/1/1953,8
1/1/1954,8.7
2/1/1954,9.5
3/1/1954,10.6
4/1/1954,10.9
5/1/1954,11.6
6/1/1954,12.3
7/1/1954,12.5
8/1/1954,12.8
9/1/1954,12.9
10/1/1954,13.3
11/1/1954,13.2
12/1/1954,13.4
1/1/1955,13.4
2/1/1955,14.2
3/1/1955,13.4
4/1/1955,14.3
5/1/1955,14.4
6/1/1955,13.4
7/1/1955,13.8
8/1/1955,12.3
9/1/1955,11.7
10/1/1955,11.5
11/1/1955,11.3
12/1/1955,12
1/1/1956,11.7
2/1/1956,12.5
3/1/1956,11.6
4/1/1956,11
5/1/1956,10.4
6/1/1956,10.1
7/1/1956,10.5
8/1/1956,12
9/1/1956,11.8
10/1/1956,11.6
11/1/1956,10.9
12/1/1956,11.4
1/1/1957,10.4
2/1/1957,10.7
3/1/1957,10.8
4/1/1957,10.6
5/1/1957,10.4
6/1/1957,10.2
7/1/1957,10.1
8/1/1957,10.5
9/1/1957,9.8
10/1/1957,11.1
11/1/1957,10.4
12/1/1957,10.4
1/1/1958,10.5
2/1/1958,11
3/1/1958,11.2
4/1/1958,12.1
5/1/1958,13.1
6/1/1958,14.4
7/1/1958,14.6
8/1/1958,15.7
9/1/1958,16.5
10/1/1958,16.5
11/1/1958,16.4
12/1/1958,15.7
1/1/1959,16.3
2/1/1959,15.5
3/1/1959,15.3
4/1/1959,14.9
5/1/1959,14.7
6/1/1959,14.9
7/1/1959,14.3
8/1/1959,13.7
9/1/1959,13.7
10/1/1959,12.9
11/1/1959,13.1
12/1/1959,13.1
1/1/1960,13.5
2/1/1960,13.1
3/1/1960,13
4/1/1960,12.6
5/1/1960,11.9
6/1/1960,11.9
7/1/1960,12.6
8/1/1960,12.2
9/1/1960,12.9
10/1/1960,13.5
11/1/1960,13.9
12/1/1960,12.4
1/1/1961,13.7
2/1/1961,13.6
3/1/1961,14.1
4/1/1961,15.5
5/1/1961,15.6
6/1/1961,16.2
7/1/1961,17.3
8/1/1961,17
9/1/1961,16.1
10/1/1961,15.9
11/1/1961,17
12/1/1961,15.8
1/1/1962,15.3
2/1/1962,16
3/1/1962,15
4/1/1962,14.9
5/1/1962,15.5
6/1/1962,15.1
7/1/1962,14.6
8/1/1962,14.5
9/1/1962,14.1
10/1/1962,14.1
11/1/1962,13.3
12/1/1962,13.6
1/1/1963,13.8
2/1/1963,14.1
3/1/1963,14.5
4/1/1963,14.5
5/1/1963,14.5
6/1/1963,14
7/1/1963,14
8/1/1963,13.9
9/1/1963,14.2
10/1/1963,13.9
11/1/1963,13.3
12/1/1963,13.3
1/1/1964,13.5
2/1/1964,13.2
3/1/1964,13.5
4/1/1964,12.4
5/1/1964,13.6
6/1/1964,13.6
7/1/1964,14.7
8/1/1964,13
9/1/1964,12.7
10/1/1964,12.6
11/1/1964,14
12/1/1964,12.7
1/1/1965,12.2
2/1/1965,12.6
3/1/1965,12
4/1/1965,11.4
5/1/1965,11.1
6/1/1965,11.6
7/1/1965,11.6
8/1/1965,11.9
9/1/1965,11.9
10/1/1965,12.1
11/1/1965,11.7
12/1/1965,11.4
1/1/1966,11.9
2/1/1966,11.2
3/1/1966,11.1
4/1/1966,10.8
5/1/1966,10.2
6/1/1966,9.7
7/1/1966,9.7
8/1/1966,9.8
9/1/1966,10.1
10/1/1966,10.3
11/1/1966,9.7
12/1/1966,9.5
1/1/1967,9.3
2/1/1967,9.2
3/1/1967,8.9
4/1/1967,8.8
5/1/1967,8.7
6/1/1967,8.3
7/1/1967,8.3
8/1/1967,8.9
9/1/1967,8.4
10/1/1967,8.7
11/1/1967,8.9
12/1/1967,8.6
1/1/1968,9.4
2/1/1968,8.7
3/1/1968,8.5
4/1/1968,8.7
5/1/1968,8.2
6/1/1968,7.9
7/1/1968,8.4
8/1/1968,8.3
9/1/1968,8.2
10/1/1968,8.4
11/1/1968,8.1
12/1/1968,8.2
1/1/1969,8.1
2/1/1969,7.9
3/1/1969,7.9
4/1/1969,7.9
5/1/1969,7.9
6/1/1969,7.7
7/1/1969,7.8
8/1/1969,7.9
9/1/1969,8
10/1/1969,7.6
11/1/1969,8
12/1/1969,8
1/1/1970,7.9
2/1/1970,8
3/1/1970,8.3
4/1/1970,8.2
5/1/1970,8.6
6/1/1970,8.6
7/1/1970,8.9
8/1/1970,8.8
9/1/1970,8.9
10/1/1970,8.7
11/1/1970,9.3
12/1/1970,9.8
1/1/1971,10.5
2/1/1971,10.4
3/1/1971,10.6
4/1/1971,10.9
5/1/1971,11.2
6/1/1971,11.6
7/1/1971,11.5
8/1/1971,11.5
9/1/1971,11.9
10/1/1971,12.6
11/1/1971,12
12/1/1971,11.5
1/1/1972,12.1
2/1/1972,12.4
3/1/1972,12.3
4/1/1972,12.4
5/1/1972,12.3
6/1/1972,12.4
7/1/1972,11.8
8/1/1972,11.8
9/1/1972,12.1
10/1/1972,11.7
11/1/1972,11.4
12/1/1972,11.4
1/1/1973,11
2/1/1973,10.5
3/1/1973,10.6
4/1/1973,10
5/1/1973,10.1
6/1/1973,9.6
7/1/1973,9.6
8/1/1973,9.8
9/1/1973,9.4
10/1/1973,10.2
11/1/1973,9.9
12/1/1973,9.5
1/1/1974,9.5
2/1/1974,9.6
3/1/1974,9.7
4/1/1974,9.8
5/1/1974,9.6
6/1/1974,9.7
7/1/1974,9.9
8/1/1974,9.8
9/1/1974,9.6
10/1/1974,9.9
11/1/1974,9.6
12/1/1974,10.1
1/1/1975,10.7
2/1/1975,11.7
3/1/1975,11.8
4/1/1975,12.9
5/1/1975,13.4
6/1/1975,15.3
7/1/1975,15
8/1/1975,15.6
9/1/1975,16.1
10/1/1975,15.4
11/1/1975,16.6
12/1/1975,16.5
1/1/1976,16.6
2/1/1976,16.3
3/1/1976,16.5
4/1/1976,15.9
5/1/1976,15
6/1/1976,16.9
7/1/1976,15.7
8/1/1976,15.6
9/1/1976,15.2
10/1/1976,15.2
11/1/1976,15.3
12/1/1976,15.1
1/1/1977,15.2
2/1/1977,14.7
3/1/1977,14.5
4/1/1977,14.4
5/1/1977,14.9
6/1/1977,14.4
7/1/1977,14.3
8/1/1977,13.9
9/1/1977,14
10/1/1977,13.7
11/1/1977,13.6
12/1/1977,13.6
1/1/1978,12.9
2/1/1978,12.5
3/1/1978,12.4
4/1/1978,12.3
5/1/1978,12.1
6/1/1978,12.1
7/1/1978,12
8/1/1978,11.4
9/1/1978,11.4
10/1/1978,11.7
11/1/1978,11.1
12/1/1978,10.6
1/1/1979,11.1
2/1/1979,11.2
3/1/1979,11.7
4/1/1979,11
5/1/1979,11.1
6/1/1979,10.4
7/1/1979,10.3
8/1/1979,10.6
9/1/1979,10.5
10/1/1979,10.5
11/1/1979,10.6
12/1/1979,10.8
1/1/1980,10.4
2/1/1980,10.6
3/1/1980,11
4/1/1980,11.4
5/1/1980,10.9
6/1/1980,11.3
7/1/1980,11.8
8/1/1980,12.4
9/1/1980,12.9
10/1/1980,13.1
11/1/1980,13.6
12/1/1980,13.7
1/1/1981,14.3
2/1/1981,14.1
3/1/1981,14
4/1/1981,13.9
5/1/1981,13.6
6/1/1981,13.7
7/1/1981,13.8
8/1/1981,14.4
9/1/1981,13.6
10/1/1981,13.5
11/1/1981,13.1
12/1/1981,13.1
1/1/1982,13.4
2/1/1982,14.1
3/1/1982,14.1
4/1/1982,14.5
5/1/1982,14.9
6/1/1982,15.7
7/1/1982,15.4
8/1/1982,16.2
9/1/1982,16.6
10/1/1982,17.2
11/1/1982,17.1
12/1/1982,18.1
1/1/1983,19.4
2/1/1983,19.2
3/1/1983,19.4
4/1/1983,19.5
5/1/1983,20.5
6/1/1983,20.8
7/1/1983,21.2
8/1/1983,20
9/1/1983,20.2
10/1/1983,20.2
11/1/1983,19.7
12/1/1983,19.2
1/1/1984,20.4
2/1/1984,19
3/1/1984,19.1
4/1/1984,18.9
5/1/1984,18.8
6/1/1984,18.1
7/1/1984,18
8/1/1984,17.3
9/1/1984,17
10/1/1984,16.7
11/1/1984,17
12/1/1984,16.8
1/1/1985,15.9
2/1/1985,15.9
3/1/1985,16.1
4/1/1985,16.4
5/1/1985,15.3
6/1/1985,15.5
7/1/1985,15.5
8/1/1985,15.3
9/1/1985,15.3
10/1/1985,15.3
11/1/1985,15.7
12/1/1985,15.1
1/1/1986,14.8
2/1/1986,15.2
3/1/1986,14.6
4/1/1986,14.7
5/1/1986,14.7
6/1/1986,15.2
7/1/1986,15.2
8/1/1986,15.5
9/1/1986,15.4
10/1/1986,15.2
11/1/1986,15
12/1/1986,15
1/1/1987,14.9
2/1/1987,14.7
3/1/1987,14.9
4/1/1987,14.8
5/1/1987,14.9
6/1/1987,14.9
7/1/1987,14.2
8/1/1987,14.4
9/1/1987,14.2
10/1/1987,14
11/1/1987,14
12/1/1987,14.2
1/1/1988,14.2
2/1/1988,14.4
3/1/1988,13.7
4/1/1988,13.3
5/1/1988,13.8
6/1/1988,13.1
7/1/1988,13.4
8/1/1988,13.6
9/1/1988,13.6
10/1/1988,13.4
11/1/1988,12.6
12/1/1988,12.9
1/1/1989,12.6
2/1/1989,12.4
3/1/1989,12.3
4/1/1989,12.5
5/1/1989,12
6/1/1989,11.1
7/1/1989,11.8
8/1/1989,11.4
9/1/1989,11.5
10/1/1989,11.9
11/1/1989,11.7
12/1/1989,11.6
1/1/1990,11.8
2/1/1990,11.6
3/1/1990,11.7
4/1/1990,11.8
5/1/1990,11.7
6/1/1990,11.6
7/1/1990,11.9
8/1/1990,12.2
9/1/1990,12.4
10/1/1990,12.2
11/1/1990,12.4
12/1/1990,12.5
1/1/1991,12.2
2/1/1991,12.7
3/1/1991,12.9
4/1/1991,13.5
5/1/1991,12.9
6/1/1991,13.7
7/1/1991,13.8
8/1/1991,13.9
9/1/1991,14
10/1/1991,14.4
11/1/1991,14.8
12/1/1991,15.4
1/1/1992,16.1
2/1/1992,16.7
3/1/1992,17.1
4/1/1992,17.4
5/1/1992,17.8
6/1/1992,18.2
7/1/1992,18.1
8/1/1992,18
9/1/1992,18.1
10/1/1992,18.9
11/1/1992,17.9
12/1/1992,19
1/1/1993,18.3
2/1/1993,18.2
3/1/1993,17.6
4/1/1993,17.6
5/1/1993,17.5
6/1/1993,17.8
7/1/1993,17.7
8/1/1993,18
9/1/1993,18.1
10/1/1993,18.1
11/1/1993,18.6
12/1/1993,18.3
1/1/1994,18.6
2/1/1994,19
3/1/1994,19
4/1/1994,19
5/1/1994,19.5
6/1/1994,18.8
7/1/1994,19
8/1/1994,18.8
9/1/1994,18.7
10/1/1994,19.3
11/1/1994,18
12/1/1994,17.8
1/1/1995,17.1
2/1/1995,17
3/1/1995,17.3
4/1/1995,17.6
5/1/1995,17
6/1/1995,15.9
7/1/1995,16.5
8/1/1995,16.2
9/1/1995,16.2
10/1/1995,16
11/1/1995,16.4
12/1/1995,16.3
1/1/1996,16.1
2/1/1996,16.4
3/1/1996,17.3
4/1/1996,17.6
5/1/1996,17
6/1/1996,17.6
7/1/1996,16.7
8/1/1996,17.3
9/1/1996,16.8
10/1/1996,16.3
11/1/1996,15.9
12/1/1996,15.6
1/1/1997,16
2/1/1997,15.8
3/1/1997,15.5
4/1/1997,15.6
5/1/1997,15.4
6/1/1997,15.5
7/1/1997,16.4
8/1/1997,16
9/1/1997,15.9
10/1/1997,16.1
11/1/1997,15.4
12/1/1997,15.9
1/1/1998,15.6
2/1/1998,15.4
3/1/1998,14.5
4/1/1998,14.7
5/1/1998,14.7
6/1/1998,14.1
7/1/1998,14.1
8/1/1998,13.7
9/1/1998,14.4
10/1/1998,14.1
11/1/1998,14.5
12/1/1998,14
1/1/1999,13.4
2/1/1999,13.8
3/1/1999,13.4
4/1/1999,13.3
5/1/1999,13.4
6/1/1999,14.3
7/1/1999,13.6
8/1/1999,13.1
9/1/1999,13.1
10/1/1999,13.3
11/1/1999,12.9
12/1/1999,12.9
1/1/2000,13.1
2/1/2000,12.6
3/1/2000,12.7
4/1/2000,12.4
5/1/2000,12.6
6/1/2000,12.3
7/1/2000,13.4
8/1/2000,12.9
9/1/2000,12.2
10/1/2000,12.7
11/1/2000,12.4
12/1/2000,12.5
1/1/2001,12.7
2/1/2001,12.8
3/1/2001,12.8
4/1/2001,12.4
5/1/2001,12.1
6/1/2001,12.7
7/1/2001,12.9
8/1/2001,13.3
9/1/2001,13.2
10/1/2001,13.3
11/1/2001,14.3
12/1/2001,14.5
1/1/2002,14.7
2/1/2002,15
3/1/2002,15.4
4/1/2002,16.3
5/1/2002,16.8
6/1/2002,16.9
7/1/2002,16.9
8/1/2002,16.5
9/1/2002,17.6
10/1/2002,17.8
11/1/2002,17.6
12/1/2002,18.5
1/1/2003,18.5
2/1/2003,18.5
3/1/2003,18.1
4/1/2003,19.4
5/1/2003,19
6/1/2003,19.9
7/1/2003,19.7
8/1/2003,19.2
9/1/2003,19.5
10/1/2003,19.3
11/1/2003,19.9
12/1/2003,19.8
1/1/2004,19.9
2/1/2004,20.1
3/1/2004,19.8
4/1/2004,19.6
5/1/2004,19.8
6/1/2004,20.5
7/1/2004,18.8
8/1/2004,18.8
9/1/2004,19.4
10/1/2004,19.5
11/1/2004,19.7
12/1/2004,19.4
1/1/2005,19.5
2/1/2005,19.1
3/1/2005,19.5
4/1/2005,19.6
5/1/2005,18.6
6/1/2005,17.9
7/1/2005,17.6
8/1/2005,18.4
9/1/2005,17.9
10/1/2005,17.9
11/1/2005,17.5
12/1/2005,17.5
1/1/2006,16.9
2/1/2006,17.8
3/1/2006,17.1
4/1/2006,16.7
5/1/2006,17.1
6/1/2006,16.6
7/1/2006,17.1
8/1/2006,17.1
9/1/2006,17.1
10/1/2006,16.3
11/1/2006,16.2
12/1/2006,16.1
1/1/2007,16.3
2/1/2007,16.7
3/1/2007,17.8
4/1/2007,16.9
5/1/2007,16.6
6/1/2007,16.5
7/1/2007,17.2
8/1/2007,17
9/1/2007,16.3
10/1/2007,17
11/1/2007,17.3
12/1/2007,16.6
1/1/2008,17.5
2/1/2008,16.9
3/1/2008,16.5
4/1/2008,16.9
5/1/2008,16.6
6/1/2008,17.1
7/1/2008,17
8/1/2008,17.7
9/1/2008,18.6
10/1/2008,19.9
11/1/2008,18.9
12/1/2008,19.9
1/1/2009,19.8
2/1/2009,20.2
3/1/2009,20.9
4/1/2009,21.7
5/1/2009,22.4
6/1/2009,23.9
7/1/2009,25.1
8/1/2009,25.3
9/1/2009,26.6
10/1/2009,27.5
11/1/2009,28.9
12/1/2009,29.7
1/1/2010,30.3
2/1/2010,29.8
3/1/2010,31.6
4/1/2010,33.3
5/1/2010,34
6/1/2010,34.5
7/1/2010,33.9
8/1/2010,33.7
9/1/2010,33.4
10/1/2010,34
11/1/2010,33.9
12/1/2010,34.7
1/1/2011,37.2
2/1/2011,37.4
3/1/2011,39.1
4/1/2011,38.7
5/1/2011,39.6
6/1/2011,39.9
7/1/2011,40.7
8/1/2011,40.5
9/1/2011,40.4
10/1/2011,38.7
11/1/2011,40.2
12/1/2011,40.4
1/1/2012,40.2
2/1/2012,39.7
3/1/2012,39.3
4/1/2012,39.2
5/1/2012,39.6
6/1/2012,40.3
7/1/2012,39.3
8/1/2012,39.6
9/1/2012,39.8
10/1/2012,39.6
11/1/2012,39
12/1/2012,37.6
1/1/2013,35.6
2/1/2013,36.4
3/1/2013,37
4/1/2013,36.5
5/1/2013,36.8
6/1/2013,36.4
7/1/2013,37.3
8/1/2013,37.6
9/1/2013,37.4
10/1/2013,35.1
11/1/2013,36.6
12/1/2013,36.5
1/1/2014,35.3
2/1/2014,36.4
3/1/2014,35.3
4/1/2014,34.9
5/1/2014,34.2
6/1/2014,33.9
7/1/2014,32.7
8/1/2014,32
9/1/2014,31.9
10/1/2014,32.4
11/1/2014,32.8
12/1/2014,32.6
1/1/2015,32.2
2/1/2015,31.1
3/1/2015,30.5
4/1/2015,30.8
5/1/2015,30.5
6/1/2015,28.3
7/1/2015,28.2
8/1/2015,28.3
9/1/2015,26
10/1/2015,27.6
11/1/2015,27.9
12/1/2015,27.7
1/1/2016,29.4
2/1/2016,29
3/1/2016,28.4
4/1/2016,28.1
5/1/2016,26.7
6/1/2016,28
7/1/2016,28
8/1/2016,27.3
9/1/2016,27
10/1/2016,26.6
11/1/2016,25.9
12/1/2016,25.9
1/1/2017,25.3
2/1/2017,25.1
3/1/2017,25.4
4/1/2017,24.3
5/1/2017,24.8
6/1/2017,24.9
7/1/2017,25
8/1/2017,24.3
9/1/2017,26.6
10/1/2017,25.8
11/1/2017,25.2
12/1/2017,23.6
1/1/2018,24.1
2/1/2018,22.9
3/1/2018,24.1
4/1/2018,23.1
5/1/2018,21.3
6/1/2018,21.2
